audio_path,dialect,raw_whisper_transcript,corrected_transcript
F:\myPrograms\Python\TSL\data\whisper_sound_processing\H_Naruruyag_ako_hiton_imo_system_setup_pero_kailangan_ta_pa_ig-align_an_core_features_para_hiton_aton_presentation..wav,war,Naruruyag ako hitong emosystem setup pero kailangan tapang i-align ang core features para hitong atong presentation.,Naruruyag ako hitong emosystem setup pero kailangan tapang i-align ang core features para hitong atong presentation.
F:\myPrograms\Python\TSL\data\whisper_sound_processing\H_Naruruyag_ako_hiton_imo_system_setup_pero_kailangan_ta_pa_ig-align_an_core_features_para_hiton_aton_presentation..wav,war,Naruruyag ako hitong emosystem setup pero kailangan tapang i-align ang core features para hitong atong presentation.,Naruruyag ako hitong ecosystem setup pero kailangan tapang i-align ang core features para hitong atong presentation.
F:\myPrograms\Python\TSL\data\whisper_sound_processing\E_Diri_ko_aram..wav,war,Tiriko Aram,Tumira ohh
F:\myPrograms\Python\TSL\data\whisper_sound_processing\E_Kinaon_ka_na.wav,war,Kina-on ka na?,Maka-in ka na?
F:\myPrograms\Python\TSL\data\whisper_sound_processing\E_Ngain_ka_makadto.wav,war,Ngayon ka makanto?,"Nga nakon, ano man ito nga akon kakantahon?"
F:\myPrograms\Python\TSL\data\whisper_sound_processing\H_Bisan_ano_pa_kamapasensyahon_hit_usa_nga_tawo_may-ada_gid_hiya_limit_lalo_na_kun_pirme_nala_gina-take_for_granted..wav,war,"Bisan ano pa kamapasensya hon hito sa ngataw, may adagid hiya limit lalo na kumpirmen na lagi na take for granted.","Bisan ano pa kamapasensya hon hito sa ngataw, may adagid hiya limit lalo na kumpirmen na lagi na take for granted."
F:\myPrograms\Python\TSL\data\whisper_sound_processing\H_Makaruruyag_unta_mag-pursue_hiton_nga_career_ngem_makaharadlok_man_gud_kun_diri_ka_mag-succeed..wav,war,Makaruruyag untang magpursuhiton nga karyer nga makaharadlok man god kundi rin ka magsaksid.,Makaruruyag untang magpursuhiton nga karyer nga makaharadlok man god kundi din ka magsirmon.
F:\myPrograms\Python\TSL\data\whisper_sound_processing\H_Naruruyag_ako_hiton_imo_system_setup_pero_kailangan_ta_pa_ig-align_an_core_features_para_hiton_aton_presentation..wav,war,Naruruyag ako hitong emosystem setup pero kailangan tapang i-align ang core features para hitong atong presentation.,Naruruyag ako hitong ecosystem setup pero kailangan tapang i-align ang core features para hitong atong presentation.
F:\myPrograms\Python\TSL\data\whisper_sound_processing\M_Ayaw_sige_ka-stress_hit_traffic_ma-abot_man_gihapon_kita_didto..wav,war,"Ayaw sige ka-stress hit traffic, maabot man gihapon kita dito.","Ayaw sige ka-stress hit traffic, maabot man gihapon kita dyan."
F:\myPrograms\Python\TSL\data\whisper_sound_processing\M_Mag-gi-gym_pa_ako_niyan_kay_damo_la_gihapon_an_akon_dapat_i-burn_nga_calories..wav,war,"Mag-gym pa ako niyan kaya damulag yung hapon, anakon, dapat i-burn nga calories.","Mag-gym pa ako niyan kaya damulag yung hapon, anakon, dapat i-burn nga calories."
F:\myPrograms\Python\TSL\data\whisper_sound_processing\M_Paki-send_nala_hit_file_hiton_project_ta_kay_i-re-review-hon_ko_yana_nga_gabi..wav,war,Pakisend na lahit file hiton project na kay i-review hon ko yan ng gabi.,Pakisend na lahit file hiton project na kay i-review hon ko yan ng gabi.
F:\myPrograms\Python\TSL\data\whisper_sound_processing\war_001.wav,war,Tiriko Aram,Tumira ohh
F:\myPrograms\Python\TSL\data\whisper_sound_processing\war_002.wav,war,Kina-on ka na?,Maka-in ka na?
F:\myPrograms\Python\TSL\data\whisper_sound_processing\war_003.wav,war,Ngayon ka makanto?,"Nga nakon, ano man ito nga akon kakantahon?"
F:\myPrograms\Python\TSL\data\whisper_sound_processing\war_004.wav,war,"Bisan ano pa kamapasensya hon hito sa ngataw, may adagid hiya limit lalo na kumpirmen na lagi na take for granted.","Bisan ano pa kamapasensya hon hito sa ngataw, may adagid hiya limit lalo na kumpirmen na lagi na take for granted."
F:\myPrograms\Python\TSL\data\whisper_sound_processing\war_005.wav,war,Makaruruyag untang magpursuhiton nga karyer nga makaharadlok man god kundi rin ka magsaksid.,Makaruruyag untang magpursuhiton nga karyer nga makaharadlok man god kundi din ka magsirmon.
F:\myPrograms\Python\TSL\data\whisper_sound_processing\war_006.wav,war,Naruruyag ako hitong emosystem setup pero kailangan tapang i-align ang core features para hitong atong presentation.,Naruruyag ako hitong ecosystem setup pero kailangan tapang i-align ang core features para hitong atong presentation.
F:\myPrograms\Python\TSL\data\whisper_sound_processing\war_007.wav,war,"Ayaw sige ka-stress hit traffic, maabot man gihapon kita dito.","Ayaw sige ka-stress hit traffic, maabot man gihapon kita dyan."
F:\myPrograms\Python\TSL\data\whisper_sound_processing\war_008.wav,war,"Mag-gym pa ako niyan kaya damulag yung hapon, anakon, dapat i-burn nga calories.","Mag-gym pa ako niyan kaya damulag yung hapon, anakon, dapat i-burn nga calories."
F:\myPrograms\Python\TSL\data\whisper_sound_processing\war_009.wav,war,Pakisend na lahit file hiton project na kay i-review hon ko yan ng gabi.,Pakisend na lahit file hiton project na kay i-review hon ko yan ng gabi.
